Year,Stars,Position,Name,Class,Previous School,New School,,,
2017,2.3,PG,Aakim Saintil,RS N/A,Iona,William Penn University,,,
2017,2,PF,Clyde Santee,RS N/A,Southeast Missouri State,William Penn University,,,
2021,2,C,Heritier Tshiyoyo,JR,Tarleton State,William Jewell,,,
2017,2,C,"RaVonn Posey, Jr.",RS N/A,Cleveland State,William Jessup University,,,
2017,2,PG,Luke Walker,N/A,Louisiana Tech,William Jessup University,,,
2019,2,C,Demetrice Clopton,RS SR,Jackson State,William Carey University,,,
2019,2,C,Jartavious Dobbs,N/A,Prairie View A&M,William Carey University,,,
2019,2,PG,Jonathan Floyd,N/A,Alcorn State,William Carey University,,,
2018,2,PG,Dalen Dotson,RS SR,North Carolina A&T,William Carey University,,,
2017,2,C,Artis Cleveland,RS N/A,Alabama State,William Carey University,,,
2021,2,SF,Brandon Carroll,RS SR,Florida Southern,William & Mary,,,
2019,2,PG,Bryce Barnes,N/A,Milwaukee,William & Mary,,,
2019,2,SG,Tyler Hamilton,RS N/A,Penn,William & Mary,,,
2018,2,PF,Andy Van Vliet,RS N/A,Wisconsin,William & Mary,,,
2017,2,C,Cole Harrison,RS N/A,Dartmouth,William & Mary,,,
2021,2,SF,Robert Johnson,RS JR,Grambling State,Wiley College,,,
2017,2,SG,Danny Cohen,N/A,New Orleans,Wiley College,,,
2021,2,PG,Qua Grant,JR,West Texas A&M,Wichita State,,,
2021,2,PF,Joe Pleasant,JR,Abilene Christian,Wichita State,,,
2020,4,PG,Alterique Gilbert,RS SR,Connecticut,Wichita State,,,
2018,2,SG,Teddy Allen,RS JR,West Virginia,Wichita State,,,
2020,2,SG,Carter Sonneborn,SO,Washington State,Whitworth University,,,
2017,2,PG,Jordan Lester,N/A,Robert Morris,Whitworth University,,,
2021,2,PF,Cyrus Johnson,RS SO,Sam Houston State,Westmont College,,,
2021,2,SF,Jalen Townsell,RS SO,Sacramento State,Westmont College,,,
2021,2,SG,Myles Warren,RS JR,Washington State,Westmont College,,,
2018,2,PG,Nick Castelveter,SR,Robert Morris,Westminster College,,,
2018,2,SG,Dan Ritter,SR,Youngstown State,Westminster College,,,
2021,2,PF,Yusuf Mohamed,RS JR,Tennessee State,Westminster,,,
2018,2,SG,Jake Connor,RS N/A,Utah,Westminster,,,
2018,2,C,Jacob McCord,N/A,Idaho State,Westminster,,,
2018,2,SF,Joonas Tahvanainen,N/A,Utah Valley,Westminster,,,
2020,2,SG,Sullivan Menard,SO,DePaul,Western Wyoming Community College,,,
2021,2,SG,Khaleem Bennett,RS SO,Central Arkansas,Western Texas College,,,
2021,2,PF,Tyson Brown,FR,Robert Morris,Western Texas College,,,
2021,2,PG,Justice Prentice,FR,Purdue Fort Wayne,Western Texas College,,,
2020,2.5,PG,Makani Whiteside,SO,UTSA,Western Texas College,,,
2020,2,SG,Lucas Kroft,SO,Ball State,Western Texas College,,,
2017,2,PG,Sergio El Darwich,N/A,South Dakota State,Western Texas College,,,
2017,2,C,"James Edwards, Jr.",RS SR,Oakland,Western Texas College,,,
2017,2,C,Da’Rhon Mitchell,RS N/A,Tarleton State,Western Texas College,,,
2017,2,PF,Zac Saddler,RS SR,Milwaukee,Western Texas College,,,
2017,2,SF,Alonzo Walker,RS N/A,Kent State,Western Texas College,,,
2018,2,PG,Elijah Gonzales,RS JR,Saint Peter's,Western Oregon,,,
2018,2,C,Erik Poulsen,N/A,San Francisco,Western Oregon,,,
2017,2,SG,Dustin Triano,RS N/A,Gonzaga,Western Oregon,,,
2018,2,PF,Damien Sears,RS SR,Jacksonville,Western Oklahoma State College,,,
2021,2,SG,Dylan Arnette,RS SO,TCU,Western New Mexico,,,
2021,2,PG,Joshuwan Johnson,JR,Arkansas–Pine Bluff,Western New Mexico,,,
2021,2,PG,Brandynn Manning,RS JR,South Carolina State,Western New Mexico,,,
2020,2,PF,Olamide Pedersen,JR,Youngstown State,Western New Mexico,,,
2019,2,SG,Elijah Holifield,RS N/A,Prairie View A&M,Western New Mexico,,,
2018,2,PF,Leston Gordon,N/A,New Mexico State,Western New Mexico,,,
2019,2,SG,Teddy Allen,RS JR,Wichita State,Western Nebraska Community College,,,
2019,2,SG,Kenny Strawbridge,RS SO,Kansas City,Western Nebraska Community College,,,
2018,2,PG,Ilya Tyrtyshnik,SR,Ole Miss,Western Nebraska Community College,,,
2021,2,SF,Markeese Hastings,RS SO,Butler,Western Michigan,,,
2021,2,PF,Mileek McMillan,SR,Valparaiso,Western Michigan,,,
2021,2,PG,"Lamar Norman, Jr.",JR,Duquesne,Western Michigan,,,
2021,2,SG,Mack Smith,SR,Eastern Illinois,Western Michigan,,,
2020,2,PF,Danny Kolp,JR,Northwood,Western Michigan,,,
2020,2,PF,Greg Lee,RS SR,Cal State Bakersfield,Western Michigan,,,
2021,3.3,PF,Jairus Hamilton,JR,Maryland,Western Kentucky,,,
2021,3,SG,Keith Williams,SR,Cincinnati,Western Kentucky,,,
2021,2,PF,Jaylen Butz,SR,DePaul,Western Kentucky,,,
2020,2,SG,Luke Frampton,RS JR,Davidson,Western Kentucky,,,
2019,4,SG,Eli Wright,RS SR,St. John's,Western Kentucky,,,
2019,3.3,SG,Camron Justice,RS N/A,IUPUI,Western Kentucky,,,
2019,2,PG,Kenny Cooper,RS SR,Lipscomb,Western Kentucky,,,
